,65Hz_encoding,65Hz_retrieval,43Hz_encoding,43Hz_retrieval,33Hz_encoding,33Hz_retrieval,rt,enc_onset,ret_onset,intercept,outlier
12,0.33597062280819145,0.4286834976167392,0.3662077481269308,0.3618814369551603,0.45667087486724006,0.4416621305122118,-1.0746429577232024,0.055512148667501614,0.0006637430451250321,1.8141882590430278,4
13,0.24068663424760076,0.6608618653038,0.11789748948084015,0.12952956453616815,0.09401245191437878,0.8950451372506261,-2.7273681234086333,0.09034183070264784,-0.22952948588349092,3.1280989910549954,3.0
14,0.1914227096203126,0.22725848461449907,0.2298243485039277,0.20056551163204114,0.21109387003310615,0.23533166151569454,-0.6606557836439765,0.010981334520204269,0.023954377029752342,0.9717969407546346,3.0
15,0.00854802194013966,0.00918096325511972,0.007829205227959398,0.008828055174089283,0.007515327938377506,0.00770040752405886,-0.06027175959418324,-0.004361152929640151,-0.004844743767432699,0.03709261256037297,3.0
16,-1.4785277722178364e-05,-2.9645618875608632e-05,5.440264564112259e-05,4.082297514011797e-05,-5.168129717181596e-05,6.557257338497579e-06,-0.000284455128573492,9.148283846313425e-05,9.937206226936115e-05,4.386993729390879e-05,0.0
17,0.010145375593619655,0.008338600351671286,0.0075872381834231825,0.013539065754170437,0.006358933919404669,0.001619529165981951,-0.007889518008012972,-0.010061739850913774,-0.012624719865743416,0.033244884153660316,0.0
18,0.6115554325936946,0.10534866811148626,0.749832458560871,0.7775881199921123,-0.1976308812275641,0.40454411255700023,-1.946986456687461,-0.09065605422261562,-0.05239014106792683,2.8089599644481007,3.0
19,0.3773807258742141,0.4878101279215744,0.6462940947109955,0.5215150269329909,0.4240317731241619,0.20229381404208138,-2.0199340513148276,-0.13621073058944436,-0.1826143850880207,2.4441547689024845,4
20,0.00474342768204898,0.0017073197705434028,0.0017671894622140261,0.006331762072381123,0.005746954601124608,0.0020869421715740523,-0.03554967055035382,0.004129425180711101,0.003289019814428169,0.013204046632688414,0.0
21,0.0055328145758553595,0.00785213017061441,0.006276403365332054,0.006062318647195389,0.006171316718576509,0.00666956888034122,-0.03349925105179403,0.005852536712415967,0.005882185824796064,0.027171214153701675,0.0
22,0.05002350072290066,0.04707894110979251,0.04371976304779051,0.04936785740058779,0.07427711184099124,0.09314102286013769,-0.24554051354904793,-0.005400069539979447,-0.01384881678369335,0.22064673649125843,4
23,0.32368863061576897,0.678899681980765,-0.05296991269013035,-0.43707077638479747,0.7638754529755163,-0.41700529395019414,-0.6682275770711206,-0.15244298775527076,-0.04024749896863723,1.8670650092415675,4
24,0.007160197680251825,0.007396781076738892,0.006559155481026413,0.0073409728473114175,0.007292283311978229,0.007211199639681164,-0.02990636871631295,0.004064040493591517,0.0033093988924783302,0.030801285757836167,3.0
25,0.2883558683777661,0.37336340478040997,0.29067483771825364,0.4953101717260579,0.44959925448680016,0.30906112302027056,-0.9102820345839097,-0.1722714474845963,-0.1550476472372464,1.6187925167104094,4
26,0.1904648806436234,0.16557074673039165,-0.02069606928247183,0.08785607992162577,0.7938664738723362,-0.05331247038926566,-0.5656209024453015,0.3418345466464025,-0.38186849496107,2.6082215046850803,4
27,0.05304468995557815,0.06319190139476837,0.0653428577604992,0.08105401376872036,0.021896014855131863,0.03391333265104016,-0.13501931277234905,7.701470671013839e-05,0.006849219268697454,0.1971452010260228,4
28,6.558131790336969e-05,-6.639687319771192e-05,0.0011830252452451851,0.0005660111911650551,0.0008441242458053722,0.0008922034055645359,0.000645610993012054,-0.0019222486361457408,-0.0021759160896696545,0.0022603484854142103,0.0
29,0.3513988186498997,0.29148925713381746,0.39266551068500627,0.42930594110672154,0.43054225392206713,0.395939811258296,-1.5596595943647393,-0.08122786134187371,-0.06522047901008327,1.7999860903926868,4
30,0.09778482256345307,0.06064432951032173,0.05531505439878873,0.09563532980559661,0.04846147849769989,0.04967785994168564,-0.392986436561892,-0.03168531147969248,-0.032163475996457434,0.31134673910091454,4
31,-0.015940435635841108,0.29243026579044096,0.37160483212715983,0.40145826468234863,0.004938951208135326,0.5995222502931202,-1.3184934383917715,-0.03766630071825605,-0.08499935164578384,2.9617773259468745,3.0
32,0.013927523185397745,0.010837435432010269,0.013966624673737223,0.01711798141334449,0.013121477762900142,0.017672138624161584,-0.08601194619657114,0.01077509939564985,0.00989326579742183,0.06658413128267356,0.0
33,0.00311027604918022,0.00390036460321447,0.004125407689896767,0.002902572136590818,0.000179852530931125,0.0023534494488706187,-0.0195714057841093,0.0021991663472386304,0.0019286173093058696,0.01221054832576658,3.0
34,0.7647954204685072,0.5577345533133271,-0.10818050307072587,0.08822523546943992,0.22194486479172607,0.14529502833927285,-2.4524181227345303,-0.2445969186971683,-0.2984228355387388,2.1768969413025214,4
35,0.49659282767662855,0.4560816382249428,0.6106891847809031,0.6722719367067258,0.3635433566116985,0.3220001370592733,-1.6971577010849552,0.1429245816463406,0.16923188518395513,2.2786942587476373,4
36,0.010415807650633574,0.012224418893302698,0.009022303047182769,0.009041620882610225,0.009767085399214078,0.009347010244812397,-0.07254736681926421,0.010979525518933289,0.009654260594956037,0.041763378429865106,0.0
37,0.00470405262627407,-0.0017990343751825278,-0.0018978344415468984,0.000963809205256713,0.004582003890349551,0.003823169246617001,-0.006374914173717836,-0.001966343682826123,-0.0034511717725401996,0.007537376258845215,0.0
38,0.20616276998103586,0.21502656640207968,0.22217625493707335,0.25210345790084365,0.182227643225008,0.2138095785790342,-0.8979738034151977,0.08014109959864943,0.07623902850439851,0.9648227225390543,3.0
39,0.009134659248689288,0.00546344292696974,0.007141302826654996,0.006926818015715951,0.007249235791022856,0.00869436271257346,-0.04026665478181332,0.003945655514541453,0.0038853740967530553,0.02941909162281197,0.0
40,0.5674053283095792,0.633674811115455,-0.07575472317457375,0.47265791560968057,0.4629789466871989,0.6461644158380022,-2.2249567402421895,-0.14078015545544595,-0.22709012272867568,2.7211722345186464,3.0
41,0.5889469534766284,0.7290149867234891,0.4013156980670947,0.24820275205987985,-0.287665978119239,0.6027506804802165,-0.988410166016083,0.08914005530082908,-0.0014527616924955137,2.5396396893252855,4
42,-3.271145472754532e-12,-2.878845730694011e-12,-3.625310853394644e-13,-3.4744224453573182e-12,-6.850972637052017e-12,-4.3486025126741834e-12,2.0525381511764627e-11,-1.2424362105001303e-12,8.412863854880285e-14,-1.5632659029413814e-11,0.0
43,0.004466079641263842,0.8557270197842435,0.6343445360918333,-0.14077176830498192,0.5184875639861519,0.1853950924634323,-0.4736251694578077,-0.10677780403573642,0.08299138738760228,1.67982058227376,4
